Problem Name,Step Name,KC(Default),E Conceptual,E Resolución,Dificultad
PROP04,R1C1, nan,0.0833,0.1333,2
PROP04,R1C2, nan,0.2517,0.0979,3
PROP04,R3C1, Define Variable,0.0901,0.1081,2
PROP04,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.3009,0.4263,7
PROP04,R4C1, Entering a given,0.2933,0.1333,4
PROP04,R5C1, Entering a given,0.0444,0.0,1
PROP04,R6C1, Entering a given,0.2101,0.0672,3
PROP04,R7C2, Entering a given,0.09,0.06,2
PROP04,ValidEquations, nan,0.0552,0.0,1
PROP04,coef 1, nan,0.2857,0.1,4
PROP04,coef 1, Remove coefficient,0.2903,0.2796,6
PROP04,coef 1, Remove positive coefficient,0.2655,0.1416,4
PROP04,R7C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.4449,0.185,6
PROP04,R4C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.5946,0.2703,9
PROP04,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP04,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.6667,0.0,7
PROP04,R5C2," Using difficult numbers~~Find Y, Simple~~Using small numbers",0.0,1.0,10
PROP07,R1C1, nan,0.0392,0.0784,1
PROP07,R1C2, nan,0.1468,0.0367,2
PROP07,R3C1, Define Variable,0.0404,0.0606,1
PROP07,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.1557,0.3174,5
PROP07,R4C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.5,0.3333,8
PROP07,R4C1, Entering a given,0.102,0.0,1
PROP07,R5C1, Entering a given,0.3858,0.1675,6
PROP07,R6C1, Entering a given,0.2727,0.0,3
PROP07,R7C2, Entering a given,0.398,0.1735,6
PROP07,ValidEquations, nan,0.0282,0.0,1
PROP07,coef 1, nan,0.3019,0.0755,4
PROP07,coef 1, Remove coefficient,0.0893,0.1071,2
PROP07,coef 1, Remove positive coefficient,0.0909,0.0455,1
PROP07,R7C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.4185,0.2203,6
PROP07,R7C1," Find X, Simple~~Using difficult numbers~~Using small numbers",0.6667,0.0,7
PROP07,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.8571,0.0,9
PROP07,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.8,0.0,8
PROP08,R1C1, nan,0.0392,0.0784,1
PROP08,R1C2, nan,0.1207,0.1034,2
PROP08,R3C1, Define Variable,0.043,0.0,1
PROP08,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.1288,0.2121,3
PROP08,R3C2," Using difficult numbers~~Using small numbers~~Write expression, positive slope",0.5,0.0,5
PROP08,R4C1, Entering a given,0.022,0.0,1
PROP08,R5C1, Entering a given,0.043,0.0,1
PROP08,R6C1, Entering a given,0.2857,0.0159,3
PROP08,R7C1, Entering a given,0.0737,0.0,1
PROP08,R7C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP08,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP08,R4C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.25,0.75,10
PROP05,R1C1, nan,0.2059,0.1324,3
PROP05,R1C2, nan,0.2206,0.1176,3
PROP05,R3C1, Define Variable,0.0,0.0833,1
PROP05,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.1413,0.3913,5
PROP05,R4C1, Entering a given,0.0652,0.0,1
PROP05,R5C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP05,R6C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",1.0,0.0,10
PROP05,R5C1, Entering a given,0.1134,0.0,1
PROP05,R6C1, Entering a given,0.0652,0.0,1
PROP05,R7C2, Entering a given,0.0227,0.0,1
PROP05,ValidEquations, nan,0.0,0.0,1
PROP05,coef 1, nan,0.2128,0.0,2
PROP05,coef 1, Remove coefficient,0.3125,0.1563,5
PROP05,coef 1, Remove positive coefficient,0.0972,0.0,1
PROP05,R7C1," Using small numbers~~Find X, Simple~~Using difficult numbers",0.3989,0.1489,5
PROP05,R4C2," Find Y, Simple~~Using small numbers~~Using difficult numbers",0.6667,0.0,7
PROP03,R1C1, nan,0.0926,0.0741,2
PROP03,R1C2, nan,0.1593,0.0531,2
PROP03,R3C1, Define Variable,0.0,0.0,1
PROP03,R3C2," Using small numbers~~Write expression, positive slope~~Using difficult numbers",0.1119,0.2537,4
PROP03,R3C2," Using difficult numbers~~Using small numbers~~Write expression, positive slope",0.0,0.0,1
